Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
northern illinois university niu,1425 W. Lincoln Hwy. Dekalb IL 60115,(41.93079 -88.78074),$23478,$23478,2285,('70%' '72%' '67%'),22561,('57%' '43%'),14%,Co-ed,('55%' '45%'),73%,2%,6%,16%,18%,&lt; 1%,4%,56%
northern kentucky university,Nunn Drive Highland Heights KY 41099,(39.0321 -84.46621),$21846,$31902,1690,('80%' '79%' '81%'),6637,('63%' '37%'),32%,Co-ed,('58%' '42%'),69%,3%,1%,7%,3%,&lt; 1%,4%,85%
northern maine community college,33 Edgemont Dr Presque Isle ME 04769-2016,(46.69453 -68.03387),$11648,$14528,104,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),52%,1%,1%,2%,4%,2%,6%,86%
northern michigan university,1401 Presque Isle Avenue Marquette MI 49855,(46.55778 -87.39627),$24490,$29986,1496,('71%' '70%' '73%'),6553,('63%' '37%'),32%,Co-ed,('58%' '42%'),75%,1%,1%,2%,3%,2%,9%,84%
northern new mexico college,921 Paseo de Onate Espanola NM 87532,(36.00454 -106.08444),$4952,$13676,97,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),41%,1%,2%,2%,69%,7%,6%,13%
northern oklahoma college,1220 E Grand Ave Tonkawa OK 74653,(36.67838 -97.29633),$12144,$18909,469,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),51%,1%,1%,6%,9%,15%,4%,65%
northern state university,1200 S Jay St Aberdeen SD 57401,(45.45267 -98.48361),$17995,$21097,337,('80%' '81%' '78%'),1224,('61%' '39%'),34%,Co-ed,('57%' '43%'),75%,6%,1%,2%,3%,2%,4%,88%
northern vermont university,337 College Hill Johnson VT 05656,(44.63897 -72.67144),$24848,$38936,263,('75%' '76%' '74%'),3954,('55%' '45%'),9%,Co-ed,('60%' '40%'),66%,1%,1%,3%,4%,1%,11%,80%
northern virginia community college,4001 Wakefield Chapel Rd Annandale VA 22003-3796,(38.83608 -77.23845),$5412,$10790,4729,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),69%,2%,17%,15%,23%,1%,10%,35%
northern wyoming community college district,1 Whitney Way Sheridan WY 82801,(44.79456 -106.9561),$12298,$18598,427,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,0%,&lt; 1%,1%,9%,2%,3%,86%
northland college,1411 Ellis Avenue Ashland WI 54806,(46.58139 -90.87392),$49582,$49582,124,('58%' '59%' '54%'),1436,('59%' '41%'),15%,Co-ed,('46%' '54%'),64%,3%,1%,2%,5%,3%,10%,79%
