Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students
urban college of boston,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,('n/a' 'n/a'),n/a,n/a
west virginia junior college morgantown,148 Willey St Morgantown WV 26505,(39.63266 -79.95476),$14657,$14657,78,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,0%,1%,4%,1%,&lt; 1%,1%,92%
west virginia junior college united career institute,Mount Braddock Road Mount Braddock PA 15465,(39.94181 -79.64594),$13000,$13000,16,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),69%,0%,&lt; 1%,7%,&lt; 1%,&lt; 1%,&lt; 1%,93%
west virginia northern community college,1704 Market St. Wheeling WV 26003-3699,(40.06326 -80.7219),$4300,$12028,174,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),52%,0%,&lt; 1%,3%,2%,&lt; 1%,3%,91%
west virginia state university,Rte 25 Institute WV 25112,(38.38551 -81.76867),$21323,$27011,305,('97%' '97%' '94%'),2959,('61%' '39%'),11%,Co-ed,('47%' '53%'),55%,1%,1%,9%,1%,1%,19%,70%
west virginia university at parkersburg,300 Campus Drive Parkersburg WV 26104,(39.2171 -81.50558),$3890,$8642,284,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
west virginia university institute of technology,512 South Kanawha Street Beckley WV 25801,(37.77619 -81.1839),$19166,$30734,303,('66%' '67%' '65%'),902,('44%' '56%'),51%,Co-ed,('43%' '57%'),56%,5%,1%,6%,3%,&lt; 1%,7%,83%
west virginia university wvu,PO Box 6201 Morgantown WV 26506,(39.65529 -79.95817),$19924,$36268,4313,('90%' '91%' '88%'),17074,('54%' '46%'),28%,Co-ed,('52%' '48%'),76%,7%,2%,5%,4%,&lt; 1%,5%,84%
west virginia wesleyan college,59 College Ave Buckhannon WV 26201,(38.99029 -80.2211),$42666,$42666,302,('84%' '85%' '83%'),1766,('48%' '52%'),20%,Co-ed,('50%' '50%'),70%,6%,&lt; 1%,9%,4%,&lt; 1%,4%,82%
western carolina university,Highway 107 Cullowhee NC 28723,(35.31298 -83.18898),$15464,$19464,1729,('79%' '79%' '78%'),12308,('61%' '39%'),18%,Co-ed,('55%' '45%'),80%,2%,1%,6%,7%,1%,5%,80%
western colorado university,1 Western Way Gunnison CO 81231,(38.5447 -106.92867),$20652,$32436,456,('91%' '90%' '91%'),3243,('49%' '51%'),15%,Co-ed,('44%' '56%'),70%,0%,1%,3%,12%,1%,15%,69%
western connecticut state university,181 White Street Danbury CT 06810,(41.3996 -73.44464),$25657,$39061,733,('85%' '88%' '80%'),4688,('56%' '44%'),18%,Co-ed,('50%' '50%'),74%,0%,4%,9%,17%,&lt; 1%,11%,58%
western dakota technical college,800 Mickelson Dr Rapid City SD 57703-4018,(44.07659 -103.18153),$8332,$8332,155,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,0%,2%,1%,5%,8%,6%,78%
western governors university,4001 South 700 East Suite 700 Salt Lake City UT 84107,(40.68488 -111.87038),$7452,$7452,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),63%,0%,4%,10%,11%,2%,13%,60%
